Resitance in Kohm,LED current in mA
39.6,0.074
30.2,0.095
23.8,0.121
19.1,0.15
16.47,0.175
13.73,0.213
11.66,0.25
10.07,0.3
8.82,0.343
8.02,0.383
7.19,0.434
6.5,0.488
5.93,0.544
5.53,0.59
5.11,0.65
4.76,0.71
4.43,0.774
4.16,0.84
3.96,0.89
3.74,0.957
3.55,1.023
3.38,1.092
3.25,1.147
3.11,1.217
2.98,1.288
2.86,1.36
2.75,1.43
2.67,1.49
2.58,1.562
2.49,1.637
2.41,1.71
2.35,1.77
2.28,1.846
2.22,1.922
2.16,1.997
2.11,2.07
2.06,2.15
2.01,2.22
1.975,2.3
1.93,2.38
1.899,2.44
1.858,2.52
1.819,2.6
1.783,2.68
1.66,3
1.6,3.5
1.361,4
1.36,4.5
1.2,5
1.18,5.5
1.053,6
1,6.5
0.961,7
0.922,7.5
0.887,8
0.857,8.5
0.827,9
0.81,9.5
0.757,10